,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:47:08.821 -> S-0.01 -3.46 111.02 0.11,,,,
17:47:08.821 -> S-0.01 -3.35 111.02 0.11,,,,
17:47:08.821 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.821 -> S-0.01 -3.79 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -4.16 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -4.13 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -3.92 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -3.28 111.02 0.11,,,,
17:47:08.855 -> S-0.01 -3.16 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.20 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.35 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.891 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:08.928 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:08.928 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:08.928 -> S-0.01 -4.16 111.02 0.11,,,,
17:47:08.928 -> S-0.01 -4.19 111.02 0.11,,,,
17:47:08.928 -> S-0.01 -4.07 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -3.79 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -3.46 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -3.66 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -3.92 111.02 0.11,,,,
17:47:08.964 -> S-0.01 -4.22 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.39 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.39 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:08.997 -> S-0.01 -4.13 111.02 0.11,,,,
17:47:09.033 -> S-0.01 -3.95 111.02 0.11,,,,
