,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:50:21.292 -> S-0.01 -4.50 157.75 2.37,,,,
17:50:21.292 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:21.292 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.292 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.292 -> S-0.02 -5.06 157.75 2.37,,,,
17:50:21.292 -> S-0.02 -5.11 157.75 2.37,,,,
17:50:21.326 -> S-0.02 -5.04 157.75 2.37,,,,
17:50:21.326 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.326 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.326 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:21.326 -> S-0.02 -4.74 157.75 2.37,,,,
17:50:21.360 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.360 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.360 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:21.360 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.360 -> S-0.02 -5.08 157.75 2.37,,,,
17:50:21.360 -> S-0.02 -5.08 157.75 2.37,,,,
17:50:21.395 -> S-0.02 -4.99 157.75 2.37,,,,
17:50:21.395 -> S-0.02 -4.96 157.75 2.37,,,,
17:50:21.395 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.395 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.395 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.395 -> S-0.02 -4.91 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -5.04 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -5.06 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -5.16 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -5.18 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -5.06 157.75 2.37,,,,
17:50:21.433 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -4.86 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -4.86 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -5.06 157.75 2.37,,,,
17:50:21.470 -> S-0.02 -5.13 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.96 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.86 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.86 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.504 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.94 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.99 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.96 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.540 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.577 -> S-0.02 -4.99 157.75 2.37,,,,
17:50:21.577 -> S-0.02 -4.99 157.75 2.37,,,,
17:50:21.577 -> S-0.02 -5.04 157.75 2.37,,,,
17:50:21.577 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.577 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:21.577 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.610 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.610 -> S-0.02 -4.91 157.75 2.37,,,,
17:50:21.610 -> S-0.02 -4.94 157.75 2.37,,,,
17:50:21.610 -> S-0.02 -4.96 157.75 2.37,,,,
17:50:21.610 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.610 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.86 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.91 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.648 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.74 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.94 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.89 157.75 2.37,,,,
17:50:21.684 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.720 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.720 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.720 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.720 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.720 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.720 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.757 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:21.757 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:21.757 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.757 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.757 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.757 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.794 -> S-0.02 -4.81 157.75 2.37,,,,
17:50:21.827 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.827 -> S-0.02 -4.76 157.75 2.37,,,,
17:50:21.827 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.827 -> S-0.02 -4.76 157.75 2.37,,,,
17:50:21.827 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.827 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.862 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:21.862 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.862 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.862 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:21.862 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:21.862 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.898 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.898 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:21.898 -> S-0.02 -4.76 157.75 2.37,,,,
17:50:21.898 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.898 -> S-0.01 -4.50 157.75 2.37,,,,
17:50:21.898 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.934 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:21.934 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.934 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:21.934 -> S-0.02 -4.84 157.75 2.37,,,,
17:50:21.934 -> S-0.02 -4.66 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.47 157.75 2.37,,,,
17:50:21.970 -> S-0.01 -4.50 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.39 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.19 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.28 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.50 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.53 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:22.008 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.047 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:22.080 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:22.080 -> S-0.02 -4.76 157.75 2.37,,,,
17:50:22.080 -> S-0.02 -4.79 157.75 2.37,,,,
17:50:22.080 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:22.080 -> S-0.01 -4.44 157.75 2.37,,,,
17:50:22.080 -> S-0.01 -4.39 157.75 2.37,,,,
17:50:22.113 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.113 -> S-0.01 -3.89 157.75 2.37,,,,
17:50:22.113 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.113 -> S-0.01 -4.47 157.75 2.37,,,,
17:50:22.113 -> S-0.01 -4.53 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.151 -> S-0.01 -4.63 157.75 2.37,,,,
17:50:22.188 -> S-0.02 -4.74 157.75 2.37,,,,
17:50:22.188 -> S-0.01 -4.36 157.75 2.37,,,,
17:50:22.188 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.188 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.188 -> S-0.01 -4.53 157.75 2.37,,,,
17:50:22.188 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:22.188 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:22.223 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:22.223 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.223 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.223 -> S-0.01 -4.39 157.75 2.37,,,,
17:50:22.223 -> S-0.02 -4.71 157.75 2.37,,,,
17:50:22.223 -> S-0.01 -4.61 157.75 2.37,,,,
17:50:22.257 -> S-0.01 -4.36 157.75 2.37,,,,
17:50:22.257 -> S-0.01 -4.33 157.75 2.37,,,,
17:50:22.257 -> S-0.01 -4.28 157.75 2.37,,,,
17:50:22.257 -> S-0.01 -4.01 157.75 2.37,,,,
17:50:22.257 -> S-0.01 -3.92 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.294 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.36 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.28 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.332 -> S-0.01 -4.47 157.75 2.37,,,,
17:50:22.368 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:22.368 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:22.368 -> S-0.01 -4.50 157.75 2.37,,,,
17:50:22.368 -> S-0.01 -4.58 157.75 2.37,,,,
17:50:22.368 -> S-0.01 -4.53 157.75 2.37,,,,
17:50:22.368 -> S-0.01 -4.39 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.28 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.19 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.33 157.75 2.37,,,,
17:50:22.402 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -3.95 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -3.70 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -3.70 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -3.86 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.438 -> S-0.01 -4.36 157.75 2.37,,,,
17:50:22.476 -> S-0.02 -4.68 157.75 2.37,,,,
17:50:22.476 -> S-0.01 -4.55 157.75 2.37,,,,
17:50:22.476 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.476 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.476 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.476 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.33 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.01 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.511 -> S-0.01 -4.28 157.75 2.37,,,,
17:50:22.544 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.544 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.544 -> S-0.01 -3.95 157.75 2.37,,,,
17:50:22.544 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.544 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -4.42 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -4.47 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -4.19 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -3.82 157.75 2.37,,,,
17:50:22.579 -> S-0.01 -3.79 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -4.19 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -4.10 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.617 -> S-0.01 -3.95 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -3.86 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -3.73 157.75 2.37,,,,
17:50:22.650 -> S-0.01 -3.86 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -3.95 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -4.33 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.687 -> S-0.01 -3.82 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.33 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.36 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.22 157.75 2.37,,,,
17:50:22.724 -> S-0.01 -4.01 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -3.73 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -3.79 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -4.30 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.757 -> S-0.01 -4.16 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -4.19 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -4.04 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -3.92 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.795 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -4.07 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -4.25 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -4.13 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.833 -> S-0.01 -3.95 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.92 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.98 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -4.01 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.86 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.53 157.75 2.37,,,,
17:50:22.870 -> S-0.01 -3.46 157.75 2.37,,,,
17:50:22.904 -> S-0.01 -3.76 157.75 2.37,,,,
17:50:22.904 -> S0.03 6.49 157.75 2.37,,,,
17:50:22.904 -> S0.09 11.37 157.75 2.37,,,,
17:50:22.904 -> S0.15 14.63 157.75 2.37,,,,
17:50:22.904 -> S0.18 15.93 157.75 2.37,,,,
17:50:22.941 -> S0.16 15.25 157.75 2.37,,,,
17:50:22.941 -> S0.14 14.29 157.75 2.37,,,,
17:50:22.941 -> S0.12 13.04 157.75 2.37,,,,
17:50:22.941 -> S0.10 11.69 157.75 2.37,,,,
17:50:22.941 -> S0.09 11.06 157.75 2.37,,,,
17:50:22.941 -> S0.08 10.39 157.75 2.37,,,,
17:50:22.941 -> S0.06 9.49 157.75 2.37,,,,
17:50:22.978 -> S0.07 10.17 157.75 2.37,,,,
17:50:22.978 -> S0.08 10.51 157.75 2.37,,,,
17:50:22.978 -> S0.09 11.23 157.75 2.37,,,,
17:50:22.978 -> S0.10 11.79 157.75 2.37,,,,
17:50:22.978 -> S0.10 11.95 157.75 2.37,,,,
17:50:23.011 -> S0.10 12.12 157.75 2.37,,,,
17:50:23.011 -> S0.10 12.08 157.75 2.37,,,,
17:50:23.011 -> S0.10 11.80 157.75 2.37,,,,
17:50:23.011 -> S0.09 11.46 157.75 2.37,,,,
17:50:23.011 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.011 -> S0.08 10.66 157.75 2.37,,,,
17:50:23.011 -> S0.08 10.42 157.75 2.37,,,,
17:50:23.049 -> S0.08 10.61 157.75 2.37,,,,
17:50:23.049 -> S0.08 11.00 157.75 2.37,,,,
17:50:23.049 -> S0.10 11.75 157.75 2.37,,,,
17:50:23.049 -> S0.10 11.83 157.75 2.37,,,,
17:50:23.049 -> S0.10 11.81 157.75 2.37,,,,
17:50:23.049 -> S0.10 11.80 157.75 2.37,,,,
17:50:23.088 -> S0.09 11.36 157.75 2.37,,,,
17:50:23.088 -> S0.09 11.14 157.75 2.37,,,,
17:50:23.088 -> S0.08 10.91 157.75 2.37,,,,
17:50:23.088 -> S0.08 10.72 157.75 2.37,,,,
17:50:23.088 -> S0.08 10.60 157.75 2.37,,,,
17:50:23.123 -> S0.08 10.91 157.75 2.37,,,,
17:50:23.123 -> S0.09 11.43 157.75 2.37,,,,
17:50:23.123 -> S0.09 11.61 157.75 2.37,,,,
17:50:23.123 -> S0.10 11.71 157.75 2.37,,,,
17:50:23.123 -> S0.10 11.81 157.75 2.37,,,,
17:50:23.123 -> S0.09 11.59 157.75 2.37,,,,
17:50:23.123 -> S0.09 11.41 157.75 2.37,,,,
17:50:23.158 -> S0.09 11.10 157.75 2.37,,,,
17:50:23.158 -> S0.08 11.00 157.75 2.37,,,,
17:50:23.158 -> S0.09 11.09 157.75 2.37,,,,
17:50:23.158 -> S0.09 11.21 157.75 2.37,,,,
17:50:23.158 -> S0.09 11.31 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.56 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.49 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.45 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.29 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.35 157.75 2.37,,,,
17:50:23.194 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.07 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.16 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.45 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.30 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.228 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.261 -> S0.09 11.40 157.75 2.37,,,,
17:50:23.261 -> S0.09 11.53 157.75 2.37,,,,
17:50:23.261 -> S0.09 11.27 157.75 2.37,,,,
17:50:23.261 -> S0.09 11.24 157.75 2.37,,,,
17:50:23.261 -> S0.09 11.65 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.39 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.24 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.21 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.296 -> S0.09 11.33 157.75 2.37,,,,
17:50:23.329 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.329 -> S0.09 11.26 157.75 2.37,,,,
17:50:23.329 -> S0.09 11.46 157.75 2.37,,,,
17:50:23.329 -> S0.09 11.52 157.75 2.37,,,,
17:50:23.329 -> S0.09 11.52 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.36 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.22 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.07 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.17 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.22 157.75 2.37,,,,
17:50:23.363 -> S0.09 11.16 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.30 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.29 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.12 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.40 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.57 157.75 2.37,,,,
17:50:23.401 -> S0.09 11.12 157.75 2.37,,,,
17:50:23.434 -> S0.09 11.16 157.75 2.37,,,,
17:50:23.434 -> S0.09 11.06 157.75 2.37,,,,
17:50:23.434 -> S0.08 11.03 157.75 2.37,,,,
17:50:23.434 -> S0.09 11.14 157.75 2.37,,,,
17:50:23.434 -> S0.09 11.41 157.75 2.37,,,,
17:50:23.434 -> S0.09 11.45 157.75 2.37,,,,
17:50:23.472 -> S0.09 11.53 157.75 2.37,,,,
17:50:23.472 -> S0.09 11.35 157.75 2.37,,,,
17:50:23.472 -> S0.09 11.17 157.75 2.37,,,,
17:50:23.472 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.472 -> S0.08 10.94 157.75 2.37,,,,
17:50:23.472 -> S0.09 11.31 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.28 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.51 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.62 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.57 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.39 157.75 2.37,,,,
17:50:23.507 -> S0.09 11.39 157.75 2.37,,,,
17:50:23.543 -> S0.09 11.12 157.75 2.37,,,,
17:50:23.543 -> S0.08 11.02 157.75 2.37,,,,
17:50:23.543 -> S0.09 11.20 157.75 2.37,,,,
17:50:23.543 -> S0.09 11.65 157.75 2.37,,,,
17:50:23.543 -> S0.09 11.46 157.75 2.37,,,,
17:50:23.543 -> S0.10 11.74 157.75 2.37,,,,
17:50:23.578 -> S0.10 11.79 157.75 2.37,,,,
17:50:23.578 -> S0.09 11.50 157.75 2.37,,,,
17:50:23.578 -> S0.09 11.37 157.75 2.37,,,,
17:50:23.578 -> S0.09 11.33 157.75 2.37,,,,
17:50:23.578 -> S0.09 11.20 157.75 2.37,,,,
17:50:23.578 -> S0.08 11.02 157.75 2.37,,,,
17:50:23.612 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.612 -> S0.09 11.46 157.75 2.37,,,,
17:50:23.612 -> S0.09 11.56 157.75 2.37,,,,
17:50:23.612 -> S0.09 11.57 157.75 2.37,,,,
17:50:23.612 -> S0.09 11.49 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.52 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.38 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.37 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.13 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.40 157.75 2.37,,,,
17:50:23.649 -> S0.09 11.55 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.40 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.27 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.56 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.24 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.25 157.75 2.37,,,,
17:50:23.687 -> S0.09 11.24 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.28 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.47 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.26 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.43 157.75 2.37,,,,
17:50:23.721 -> S0.10 11.88 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.65 157.75 2.37,,,,
17:50:23.721 -> S0.09 11.26 157.75 2.37,,,,
17:50:23.755 -> S0.09 11.12 157.75 2.37,,,,
17:50:23.755 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.755 -> S0.09 11.40 157.75 2.37,,,,
17:50:23.755 -> S0.09 11.28 157.75 2.37,,,,
17:50:23.755 -> S0.09 11.46 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.47 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.29 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.13 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.17 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.31 157.75 2.37,,,,
17:50:23.789 -> S0.09 11.31 157.75 2.37,,,,
17:50:23.825 -> S0.09 11.20 157.75 2.37,,,,
17:50:23.825 -> S0.09 11.15 157.75 2.37,,,,
17:50:23.825 -> S0.09 11.13 157.75 2.37,,,,
17:50:23.825 -> S0.09 11.30 157.75 2.37,,,,
17:50:23.825 -> S0.10 11.80 157.75 2.37,,,,
17:50:23.825 -> S0.10 11.76 157.75 2.37,,,,
